Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category,Academic_Consistency,Overall_Academic_Score,Engagement_Score,Study_Efficiency,Parental_Education_Label,Performance_Label
93.25,10.79,96.67,85.87,92.19,92.15,0.0,9.72,5.3,1,1,1,98.86,98.89,Excellent,4.44,92.22,98.88,10.79,High_School,3
83.5,5.92,74.05,74.9,84.7,69.92,2.0,6.99,6.5,1,0,0,79.31,90.15,Good,6.26,75.15,84.73,1.97,None,2
34.14,3.76,32.57,32.47,50.53,24.98,5.0,5.53,9.0,1,1,1,34.75,54.81,Poor,10.86,36.89,44.78,0.63,High_School,0
52.71,5.61,60.37,56.53,60.15,60.78,1.0,6.41,4.4,1,3,0,47.17,75.77,Average,1.97,59.82,61.47,2.81,Post_Graduate,1
60.46,3.57,34.47,43.08,38.74,45.45,3.0,4.47,7.9,1,1,0,36.59,46.03,Poor,4.85,40.7,41.31,0.89,High_School,0
89.12,11.58,87.75,100.0,96.47,93.42,0.0,9.55,6.0,1,2,1,84.9,95.98,Excellent,5.19,94.47,90.44,11.58,Graduate,3
63.22,7.16,53.98,72.5,65.66,53.5,3.0,5.67,7.9,1,2,1,53.02,71.9,Average,9.29,61.12,62.46,1.79,Graduate,1
98.08,10.93,98.93,97.81,91.73,95.66,0.0,9.46,5.1,1,0,1,93.54,97.09,Excellent,3.17,96.12,95.32,10.93,None,3
67.07,4.18,68.03,57.36,56.28,65.09,1.0,5.13,8.9,1,0,0,59.01,64.16,Average,5.77,60.75,61.58,2.09,None,1
90.13,7.79,83.72,66.1,80.87,82.73,0.0,8.25,6.0,1,2,1,75.33,94.56,Good,8.25,78.43,84.94,7.79,Graduate,2
76.88,9.68,87.56,72.84,76.06,74.53,0.0,7.05,5.2,1,1,1,67.64,72.46,Good,6.67,77.27,70.05,9.68,High_School,2
55.37,1.79,42.1,44.4,31.02,42.06,7.0,4.25,8.8,1,4,1,30.56,52.4,Poor,6.02,40.49,41.48,0.22,Doctorate,0
44.51,0.83,48.87,47.39,42.75,35.99,5.0,4.46,8.6,1,0,1,39.67,61.85,Poor,5.79,44.27,50.76,0.14,None,0
70.34,6.4,76.27,89.06,75.38,78.07,1.0,9.52,8.6,1,2,0,71.28,82.57,Good,6.34,81.54,76.92,3.2,Graduate,2
49.42,2.31,49.96,42.37,43.24,44.72,7.5,4.62,5.8,1,3,1,36.17,67.15,Poor,3.4,45.29,51.66,0.27,Post_Graduate,0
45.69,2.0,49.04,27.08,40.2,39.72,5.0,5.18,4.8,1,1,1,35.38,67.17,Poor,9.03,40.19,51.28,0.33,High_School,0
59.93,4.79,67.59,49.79,61.06,52.4,2.0,6.54,4.0,1,3,1,50.79,71.45,Average,8.16,58.58,61.12,1.6,Post_Graduate,1
69.86,4.2,79.58,72.99,71.85,81.46,0.0,8.54,5.3,1,2,1,84.17,84.44,Good,4.76,77.34,84.3,4.2,Graduate,2
69.32,6.46,76.18,78.2,77.31,78.96,0.0,7.8,6.5,1,4,0,73.39,92.65,Good,1.2,77.65,83.02,6.46,Doctorate,2
66.24,5.19,63.56,61.58,65.14,68.63,0.0,7.25,6.9,1,3,1,58.93,64.25,Average,2.98,65.29,61.59,5.19,Post_Graduate,1
63.18,2.35,60.02,52.55,66.73,52.78,2.0,6.11,6.3,1,3,1,49.49,92.28,Average,6.76,58.15,70.89,0.78,Post_Graduate,1
73.23,7.43,76.47,68.39,89.52,82.64,1.0,7.9,6.0,1,0,0,60.71,84.27,Good,8.99,78.55,72.49,3.71,None,2
81.37,5.91,83.42,80.86,75.55,73.39,0.0,8.73,6.0,1,3,1,81.47,86.42,Good,4.63,79.59,83.94,5.91,Post_Graduate,2
58.86,6.13,59.92,65.6,58.42,68.54,3.0,5.42,8.7,1,2,1,50.77,77.45,Average,4.76,62.19,64.11,1.53,Graduate,1
47.8,2.12,47.41,30.82,37.94,25.65,7.0,4.93,6.3,1,3,1,43.38,70.97,Poor,9.43,37.21,57.18,0.27,Post_Graduate,0
34.44,1.43,48.9,40.43,44.26,28.97,6.0,4.73,6.4,1,2,0,44.38,61.85,Poor,8.52,41.71,53.12,0.2,Graduate,0
71.91,7.98,79.12,75.89,84.65,67.78,0.0,7.42,7.7,1,0,0,77.43,85.67,Good,7.05,76.66,81.55,7.98,None,2
46.74,4.88,56.93,67.87,65.19,46.86,1.0,6.93,6.9,1,2,1,64.78,82.22,Average,9.46,60.54,73.5,2.44,Graduate,1
61.43,4.21,58.43,57.7,65.82,58.42,0.0,6.15,7.7,1,0,0,46.72,70.98,Average,3.83,60.03,58.85,4.21,None,1
70.83,5.02,66.98,34.83,76.71,56.88,1.0,7.14,5.4,1,0,1,46.68,77.4,Average,17.94,59.31,62.04,2.51,None,1
72.08,4.25,63.38,50.66,59.75,74.03,3.0,6.41,8.0,1,2,1,58.59,63.89,Average,9.67,61.68,61.24,1.06,Graduate,1
82.12,6.37,76.05,78.8,81.25,79.45,1.0,7.58,5.2,1,3,1,81.75,94.33,Good,2.16,78.43,88.04,3.19,Post_Graduate,2
89.03,7.11,77.34,69.3,70.05,64.99,1.0,6.66,6.1,1,2,1,72.88,76.95,Good,5.12,70.33,74.91,3.56,Graduate,2
75.18,10.88,83.37,74.23,61.5,92.54,0.0,6.94,4.3,1,2,1,64.27,96.12,Good,13.25,77.15,80.19,10.88,Graduate,2
68.26,5.78,65.07,60.25,60.83,57.5,0.0,6.1,5.6,1,1,0,59.42,72.23,Average,3.13,61.1,65.82,5.78,High_School,1
64.94,6.59,66.35,45.44,52.08,65.53,1.0,6.69,5.0,1,1,1,47.25,73.34,Average,10.29,58.16,60.3,3.29,High_School,1
74.68,4.39,54.37,58.51,63.78,59.11,3.0,6.65,6.5,1,2,0,44.63,81.7,Average,3.85,59.45,63.17,1.1,Graduate,1
41.75,2.89,40.14,48.98,34.61,41.23,6.0,5.73,7.4,1,2,1,47.99,45.2,Poor,5.92,43.18,46.6,0.41,Graduate,0
57.07,6.96,72.42,53.57,64.55,71.03,1.0,5.78,5.2,1,2,0,46.88,67.31,Average,8.6,64.39,57.1,3.48,Graduate,1
75.65,8.55,83.72,77.26,82.24,91.32,0.0,8.61,7.6,1,0,1,66.53,97.71,Good,5.82,83.57,82.12,8.55,None,2
89.05,10.94,87.93,92.91,100.0,90.97,0.0,9.8,6.5,1,4,1,95.55,91.63,Excellent,5.13,93.2,93.59,10.94,Doctorate,3
48.1,3.23,36.51,40.8,35.78,41.89,4.0,4.12,7.8,1,2,1,24.35,42.81,Poor,3.05,38.98,33.58,0.65,Graduate,0
98.18,10.05,93.76,92.49,92.08,94.82,1.0,9.03,7.9,1,0,1,98.33,98.27,Excellent,1.25,92.97,98.3,5.03,None,3
67.79,3.15,59.23,57.93,68.69,61.8,0.0,8.22,7.8,1,2,0,52.6,67.3,Average,4.8,63.61,59.95,3.15,Graduate,1
90.95,9.72,92.78,95.15,93.65,94.93,0.0,7.81,5.8,1,2,1,93.97,97.13,Excellent,1.12,92.51,95.55,9.72,Graduate,3
61.79,6.74,60.19,55.3,55.09,55.58,1.0,6.38,8.8,1,2,1,55.02,76.0,Average,2.44,57.39,65.51,3.37,Graduate,1
55.15,4.19,57.97,65.91,55.94,48.63,4.0,5.79,7.6,1,1,0,34.27,68.13,Average,7.11,57.67,51.2,0.84,High_School,1
39.55,1.97,26.82,55.48,30.46,38.68,6.0,4.21,9.7,1,3,0,43.32,52.66,Poor,12.75,38.61,47.99,0.28,Post_Graduate,0
46.79,2.92,53.78,48.72,42.21,45.4,3.0,4.82,7.1,1,3,0,48.78,55.67,Poor,4.94,47.97,52.22,0.73,Post_Graduate,0
36.72,1.03,52.1,33.74,31.62,43.29,4.0,5.24,6.2,1,2,1,45.49,47.48,Poor,9.43,41.68,46.48,0.21,Graduate,0
83.19,10.75,72.0,82.99,79.4,78.38,1.0,8.13,5.7,1,1,0,82.51,83.45,Good,4.58,78.43,82.98,5.38,High_School,2
85.31,7.08,95.4,93.24,91.58,90.84,0.0,9.4,6.1,1,3,1,96.58,99.44,Excellent,2.02,93.04,98.01,7.08,Post_Graduate,3
70.2,3.28,68.71,56.88,67.11,63.88,1.0,6.51,6.9,1,3,0,55.24,71.75,Average,5.24,64.11,63.5,1.64,Post_Graduate,1
57.41,2.02,44.97,52.62,41.93,59.81,7.0,4.58,7.9,1,3,1,28.2,52.86,Poor,8.03,49.33,40.53,0.25,Post_Graduate,0
91.43,8.33,93.89,99.77,86.75,86.97,0.0,9.61,6.4,1,2,0,90.64,100.0,Excellent,6.24,92.77,95.32,8.33,Graduate,3
76.95,3.37,68.33,53.42,61.45,51.31,2.0,7.48,8.8,1,3,0,71.05,88.99,Average,7.81,60.47,80.02,1.12,Post_Graduate,1
93.96,11.97,98.08,89.25,98.74,95.91,0.0,8.68,4.2,1,1,1,91.53,93.13,Excellent,4.34,94.44,92.33,11.97,High_School,3
94.95,10.87,100.0,87.12,92.25,93.81,0.0,9.06,9.3,1,2,0,97.94,100.0,Excellent,5.31,93.05,98.97,10.87,Graduate,3
91.36,11.16,83.02,93.35,99.16,91.53,1.0,9.15,6.9,1,3,1,99.45,91.55,Excellent,6.68,91.38,95.5,5.58,Post_Graduate,3
76.79,3.81,54.18,61.75,52.01,60.41,3.0,6.17,5.8,1,1,0,53.37,65.48,Average,4.73,57.64,59.42,0.95,High_School,1
61.07,6.85,54.79,57.89,60.81,48.95,2.0,6.3,6.2,1,4,0,59.13,60.0,Average,5.07,56.42,59.56,2.28,Doctorate,1
38.62,2.57,31.83,58.32,40.64,41.78,2.0,4.16,8.7,1,1,1,28.52,59.1,Poor,11.05,43.18,43.81,0.86,High_School,0
45.14,2.15,45.54,53.49,39.34,32.37,7.0,4.18,7.1,1,0,1,35.59,68.68,Poor,8.99,43.28,52.14,0.27,None,0
42.33,1.2,38.64,31.37,40.98,52.0,7.5,4.7,8.3,1,1,1,29.11,58.17,Poor,8.55,40.8,43.64,0.14,High_School,0
44.09,3.15,43.41,27.49,47.35,33.65,7.0,4.24,6.4,1,3,1,43.24,54.82,Poor,9.06,38.16,49.03,0.39,Post_Graduate,0
93.0,8.26,88.82,93.52,94.96,93.71,0.0,9.21,7.6,1,2,0,94.76,91.75,Excellent,2.7,92.53,93.26,8.26,Graduate,3
47.76,1.73,56.84,40.79,33.56,43.77,7.5,5.79,6.2,1,3,0,34.82,49.51,Poor,9.73,45.66,42.16,0.2,Post_Graduate,0
58.98,3.88,53.7,41.76,66.11,68.06,3.0,6.28,5.8,1,3,0,56.08,75.48,Average,12.22,56.98,65.78,0.97,Post_Graduate,1
65.77,4.11,63.69,54.2,66.97,47.23,2.0,7.07,8.0,1,1,1,44.47,78.29,Average,9.0,59.38,61.38,1.37,High_School,1
68.88,7.35,57.94,50.2,68.86,57.04,3.0,5.82,7.3,1,3,0,54.28,75.16,Average,7.72,58.04,64.72,1.84,Post_Graduate,1
65.07,4.98,66.11,53.79,65.28,54.91,0.0,6.54,6.5,1,2,0,69.71,70.71,Average,6.57,60.55,70.21,4.98,Graduate,1
34.65,2.78,50.9,32.09,43.43,46.19,4.0,4.81,7.4,1,4,1,44.3,50.08,Poor,7.99,43.48,47.19,0.56,Doctorate,0
97.27,12.0,83.45,89.06,100.0,90.74,0.0,9.18,9.0,1,3,0,97.26,100.0,Excellent,6.87,90.46,98.63,12.0,Post_Graduate,3
39.78,2.03,40.45,19.78,43.39,40.15,5.0,4.4,4.0,1,2,0,17.34,55.74,Poor,10.87,36.17,36.54,0.34,Graduate,0
48.16,0.54,40.03,32.98,42.55,49.72,4.0,4.04,4.0,1,2,1,37.15,58.33,Poor,6.91,40.75,47.74,0.11,Graduate,0
57.83,2.23,44.57,45.33,62.14,62.07,4.0,6.37,7.5,1,2,0,50.08,66.83,Average,9.91,53.69,58.46,0.45,Graduate,1
45.81,1.01,41.45,39.61,38.2,33.8,5.0,5.32,7.4,1,1,1,36.87,65.13,Poor,3.26,39.98,51.0,0.17,High_School,0
47.97,1.26,28.92,33.84,61.42,35.11,1.0,3.18,8.9,1,3,1,40.86,64.34,Poor,14.64,38.18,52.6,0.63,Post_Graduate,0
88.03,11.38,97.5,89.15,100.0,91.25,1.0,9.18,4.4,1,2,1,96.55,99.17,Excellent,5.11,94.09,97.86,5.69,Graduate,3
73.09,9.72,74.73,68.0,72.25,73.49,0.0,8.67,6.7,1,2,1,84.77,82.06,Good,2.93,73.5,83.42,9.72,Graduate,2
85.86,11.91,100.0,90.19,93.77,86.77,0.0,9.52,6.8,1,2,0,92.53,94.25,Excellent,5.65,93.18,93.39,11.91,Graduate,3
33.07,1.65,41.75,40.83,41.92,46.23,7.0,4.9,7.4,1,2,0,25.56,70.08,Poor,2.41,43.18,47.82,0.21,Graduate,0
74.49,6.57,75.32,73.2,65.14,81.74,1.0,9.2,6.6,1,3,1,68.56,68.29,Good,6.85,75.71,68.43,3.29,Post_Graduate,2
63.19,3.13,38.92,28.79,39.76,34.46,7.0,4.46,8.3,1,4,0,37.24,52.18,Poor,5.03,36.23,44.71,0.39,Doctorate,0
66.52,4.46,68.01,57.59,45.82,68.1,1.0,5.77,10.0,1,3,1,66.0,55.41,Average,10.59,59.95,60.7,2.23,Post_Graduate,1
99.97,9.49,94.57,99.96,99.83,91.48,1.0,9.18,7.3,1,0,1,97.52,100.0,Excellent,4.16,96.07,98.76,4.75,None,3
99.62,11.42,88.64,94.54,89.14,85.6,1.0,9.73,7.8,1,1,1,95.07,98.9,Excellent,3.72,90.47,96.98,5.71,High_School,3
53.08,3.18,47.18,42.6,33.86,40.69,3.0,4.6,6.8,1,0,1,30.61,58.35,Poor,5.53,41.96,44.48,0.8,None,0
84.53,10.32,92.51,88.41,97.3,97.19,0.0,9.17,5.9,1,3,1,88.95,92.01,Excellent,4.26,93.3,90.48,10.32,Post_Graduate,3
85.81,7.21,74.65,62.47,83.45,67.83,2.0,7.15,8.5,1,2,1,77.35,86.06,Good,9.06,71.69,81.7,2.4,Graduate,2
65.18,3.76,65.46,50.21,63.81,62.04,2.0,5.66,7.0,1,2,0,62.12,57.83,Average,6.92,59.75,59.97,1.25,Graduate,1
56.92,6.18,59.0,57.93,57.38,59.24,1.0,6.91,6.5,1,1,1,48.06,67.24,Average,0.88,59.47,57.65,3.09,High_School,1
55.72,1.34,41.22,46.56,38.19,45.05,6.0,5.52,7.3,1,1,1,44.89,58.21,Poor,3.78,44.11,51.55,0.19,High_School,0
60.0,4.71,62.26,57.0,37.34,58.14,1.0,5.13,6.5,1,1,1,43.67,82.38,Average,11.13,54.04,63.02,2.35,High_School,1
99.2,9.89,95.85,87.14,86.23,96.59,0.0,9.89,4.9,1,3,0,96.55,100.0,Excellent,5.53,92.2,98.28,9.89,Post_Graduate,3
77.7,8.4,72.69,75.36,79.29,69.48,0.0,6.68,4.0,1,2,1,67.06,84.47,Good,4.16,73.45,75.76,8.4,Graduate,2
63.35,4.11,59.18,62.38,50.55,66.91,4.0,6.06,5.9,1,2,0,56.54,80.35,Average,6.91,59.94,68.44,0.82,Graduate,1
94.82,10.08,93.37,93.72,92.88,99.95,0.0,9.05,5.8,1,3,1,91.6,93.03,Excellent,3.33,94.39,92.32,10.08,Post_Graduate,3
47.67,2.23,32.42,34.07,37.0,36.46,7.0,4.1,7.7,1,3,1,24.94,55.63,Poor,2.13,35.41,40.29,0.28,Post_Graduate,0
38.79,1.84,42.8,43.68,40.03,25.99,4.0,3.0,6.6,1,3,1,47.27,46.11,Poor,8.24,37.82,46.69,0.37,Post_Graduate,0
67.08,5.06,59.38,60.65,56.61,45.06,1.0,6.38,6.1,1,4,1,55.33,76.89,Average,7.11,56.72,66.11,2.53,Doctorate,1
50.91,2.02,37.37,42.9,54.43,37.47,6.0,5.24,5.1,1,2,1,33.34,62.53,Poor,8.02,43.69,47.94,0.29,Graduate,0
76.71,7.9,73.44,76.04,93.7,74.77,0.0,7.22,4.6,1,4,1,64.04,76.59,Good,9.53,78.28,70.32,7.9,Doctorate,2
32.57,3.01,37.02,45.33,24.24,46.14,4.0,3.53,6.7,1,4,1,35.26,59.21,Poor,10.17,38.19,47.24,0.6,Doctorate,0
93.84,5.15,87.82,77.23,72.71,67.19,3.0,7.66,7.0,1,1,0,85.58,75.84,Good,8.75,76.9,80.71,1.29,High_School,2
77.44,8.17,76.58,81.47,87.86,73.92,1.0,8.48,7.6,1,2,0,80.18,79.33,Good,6.13,80.35,79.76,4.08,Graduate,2
91.48,9.88,94.24,90.06,90.62,92.67,1.0,8.71,5.3,1,3,1,87.07,98.72,Excellent,1.92,91.44,92.9,4.94,Post_Graduate,3
