Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category
93.25,10.79,96.67,85.87,92.19,92.15,0,9.72,5.3,0,1,1,98.86,98.89,Excellent
83.5,5.92,74.05,74.9,84.7,69.92,2,6.99,6.5,0,0,0,79.31,90.15,Good
34.14,3.76,32.57,32.47,50.53,24.98,5,5.53,9.0,0,1,1,34.75,54.81,Poor
52.71,5.61,60.37,56.53,60.15,60.78,1,6.41,4.4,1,3,0,47.17,75.77,Average
60.46,3.57,34.47,43.08,38.74,45.45,3,4.47,7.9,1,1,0,36.59,46.03,Poor
89.12,11.58,87.75,100.0,96.47,93.42,0,9.55,6.0,1,2,1,84.9,95.98,Excellent
63.22,7.16,53.98,72.5,65.66,53.5,3,5.67,7.9,1,2,1,53.02,71.9,Average
98.08,10.93,98.93,97.81,91.73,95.66,0,9.46,5.1,1,0,1,93.54,97.09,Excellent
67.07,4.18,68.03,57.36,56.28,65.09,1,5.13,8.9,1,0,0,59.01,64.16,Average
90.13,7.79,83.72,66.1,80.87,82.73,0,8.25,6.0,1,2,1,75.33,94.56,Good
76.88,9.68,87.56,72.84,76.06,74.53,0,7.05,5.2,1,1,1,67.64,72.46,Good
55.37,1.79,42.1,44.4,31.02,42.06,7,4.25,8.8,0,4,1,30.56,52.4,Poor
44.51,0.83,48.87,47.39,42.75,35.99,5,4.46,8.6,1,0,1,39.67,61.85,Poor
70.34,6.4,76.27,89.06,75.38,78.07,1,9.52,8.6,1,2,0,71.28,82.57,Good
49.42,2.31,49.96,42.37,43.24,44.72,8,4.62,5.8,1,3,1,36.17,67.15,Poor
45.69,2.0,49.04,27.08,40.2,39.72,5,5.18,4.8,1,1,1,35.38,67.17,Poor
59.93,4.79,67.59,49.79,61.06,52.4,2,6.54,4.0,1,3,1,50.79,71.45,Average
69.86,4.2,79.58,72.99,71.85,81.46,0,8.54,5.3,1,2,1,84.17,84.44,Good
69.32,6.46,76.18,78.2,77.31,78.96,0,7.8,6.5,1,4,0,73.39,92.65,Good
66.24,5.19,63.56,61.58,65.14,68.63,0,7.25,6.9,0,3,1,58.93,64.25,Average
63.18,2.35,60.02,52.55,66.73,52.78,2,6.11,6.3,1,3,1,49.49,92.28,Average
73.23,7.43,76.47,68.39,89.52,82.64,1,7.9,6.0,0,0,0,60.71,84.27,Good
81.37,5.91,83.42,80.86,75.55,73.39,0,8.73,6.0,1,3,1,81.47,86.42,Good
58.86,6.13,59.92,65.6,58.42,68.54,3,5.42,8.7,1,2,1,50.77,77.45,Average
47.8,2.12,47.41,30.82,37.94,25.65,7,4.93,6.3,1,3,1,43.38,70.97,Poor
34.44,1.43,48.9,40.43,44.26,28.97,6,4.73,6.4,1,2,0,44.38,61.85,Poor
71.91,7.98,79.12,75.89,84.65,67.78,0,7.42,7.7,1,0,0,77.43,85.67,Good
46.74,4.88,56.93,67.87,65.19,46.86,1,6.93,6.9,1,2,1,64.78,82.22,Average
61.43,4.21,58.43,57.7,65.82,58.42,0,6.15,7.7,1,0,0,46.72,70.98,Average
70.83,5.02,66.98,34.83,76.71,56.88,1,7.14,5.4,1,0,1,46.68,77.4,Average
72.08,4.25,63.38,50.66,59.75,74.03,3,6.41,8.0,1,2,1,58.59,63.89,Average
82.12,6.37,76.05,78.8,81.25,79.45,1,7.58,5.2,1,3,1,81.75,94.33,Good
89.03,7.11,77.34,69.3,70.05,64.99,1,6.66,6.1,0,2,1,72.88,76.95,Good
75.18,10.88,83.37,74.23,61.5,92.54,0,6.94,4.3,1,2,1,64.27,96.12,Good
68.26,5.78,65.07,60.25,60.83,57.5,0,6.1,5.6,1,1,0,59.42,72.23,Average
64.94,6.59,66.35,45.44,52.08,65.53,1,6.69,5.0,1,1,1,47.25,73.34,Average
74.68,4.39,54.37,58.51,63.78,59.11,3,6.65,6.5,1,2,0,44.63,81.7,Average
41.75,2.89,40.14,48.98,34.61,41.23,6,5.73,7.4,1,2,1,47.99,45.2,Poor
57.07,6.96,72.42,53.57,64.55,71.03,1,5.78,5.2,0,2,0,46.88,67.31,Average
75.65,8.55,83.72,77.26,82.24,91.32,0,8.61,7.6,1,0,1,66.53,97.71,Good
89.05,10.94,87.93,92.91,100.0,90.97,0,9.8,6.5,1,4,1,95.55,91.63,Excellent
48.1,3.23,36.51,40.8,35.78,41.89,4,4.12,7.8,1,2,1,24.35,42.81,Poor
98.18,10.05,93.76,92.49,92.08,94.82,1,9.03,7.9,1,0,1,98.33,98.27,Excellent
67.79,3.15,59.23,57.93,68.69,61.8,0,8.22,7.8,1,2,0,52.6,67.3,Average
90.95,9.72,92.78,95.15,93.65,94.93,0,7.81,5.8,1,2,1,93.97,97.13,Excellent
61.79,6.74,60.19,55.3,55.09,55.58,1,6.38,8.8,1,2,1,55.02,76.0,Average
55.15,4.19,57.97,65.91,55.94,48.63,4,5.79,7.6,1,1,0,34.27,68.13,Average
39.55,1.97,26.82,55.48,30.46,38.68,6,4.21,9.7,1,3,0,43.32,52.66,Poor
46.79,2.92,53.78,48.72,42.21,45.4,3,4.82,7.1,0,3,0,48.78,55.67,Poor
36.72,1.03,52.1,33.74,31.62,43.29,4,5.24,6.2,0,2,1,45.49,47.48,Poor
83.19,10.75,72.0,82.99,79.4,78.38,1,8.13,5.7,1,1,0,82.51,83.45,Good
85.31,7.08,95.4,93.24,91.58,90.84,0,9.4,6.1,1,3,1,96.58,99.44,Excellent
70.2,3.28,68.71,56.88,67.11,63.88,1,6.51,6.9,1,3,0,55.24,71.75,Average
